symbol,as_of,close,one_day_return_pct,one_month_return_pct,three_month_return_pct,ytd_return_pct,one_year_return_pct,fifty_two_week_high,fifty_two_week_low,position_in_52w_range_pct,sma_50,sma_200,rsi_14,volume,average_volume_30d,source,retrieved_at,notes
SEI,2026-08-19,58.8000,-5.0694,-2.4552,-18.8294,27.9095,114.5202,86.1900,24.5700,55.5501,65.9586,59.2687,62.3847,3989700,3490963,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
SMR,2026-08-19,9.2900,7.5231,20.3368,-7.6541,-34.4390,-73.4420,57.4200,7.2100,4.1426,9.3184,14.2968,56.1939,36107400,30285537,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
SPCX,2026-08-19,139.6500,-2.5743,12.6300,-13.2339,-13.2339,-13.2339,225.6400,104.8300,28.8221,,,62.9984,75887800,98303920,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
STDN,2026-08-19,11.9700,-1.8852,15.0962,-2.6829,-2.6829,-2.6829,13.9800,7.0500,70.9957,,,74.0374,433000,,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
VOYG,2026-08-19,38.8500,-8.0256,50.0000,3.4070,48.6228,17.0886,52.4000,17.4100,61.2746,33.6562,30.2351,76.6285,1651900,1690900,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
VRT,2026-08-19,261.0000,-4.2342,-9.8632,-19.1024,61.1012,92.3502,379.9350,118.7000,54.4720,294.7670,252.4624,64.2626,6197300,5604657,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
WULF,2026-08-19,15.5000,-0.7682,-14.6476,-27.3664,34.8999,65.2452,29.8400,8.6000,32.4859,21.1114,17.7426,37.5536,34079900,34169663,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
WYFI,2026-08-19,21.3800,-21.0196,-14.9901,-16.2226,35.3164,14.3927,46.8700,10.5100,29.8955,29.9915,21.9683,40.2012,15737500,2841383,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
XNDU,2026-08-19,10.3700,-0.8604,3.8038,-11.5188,29.4632,29.4632,42.4400,6.9700,9.5856,11.3084,,44.5194,836800,1017690,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
YSS,2026-08-19,10.1800,-2.3033,-43.2236,-60.3583,-69.7114,-69.7114,44.5400,9.4000,2.2197,19.9232,,25.1953,3777000,2497833,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
