symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
FN,0001408710,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1408710/000140871026000028/fn-20260626.htm,2026-08-18,2026-08-22,,,,0001408710-26-000028/fn-20260626.htm,0001408710-26-000028,fn-20260626.htm,10-K,2026-08-18T11:12:07.000Z,2026-06-26,https://data.sec.gov/submissions/CIK0001408710.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,28,3,3,0,
FRMI,0002071778,Nasdaq,10-K,10-K/A,https://www.sec.gov/Archives/edgar/data/2071778/000207177826000018/frmi-20251231.htm,2026-04-30,2026-08-22,,,,0002071778-26-000018/frmi-20251231.htm,0002071778-26-000018,frmi-20251231.htm,10-K/A,2026-04-30T21:15:59.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0002071778.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,2,1,0,0,
GILT,0000897322,Nasdaq,20-F,20-F,https://www.sec.gov/Archives/edgar/data/897322/000117891326000929/zk2634518.htm,2026-03-16,2026-08-22,,,,0001178913-26-000929/zk2634518.htm,0001178913-26-000929,zk2634518.htm,20-F,2026-03-16T20:19:17.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0000897322.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,20-F,0,,,20,4,1,0,
GSAT,0001366868,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1366868/000136686826000012/gsat-20251231.htm,2026-02-27,2026-08-22,,,,0001366868-26-000012/gsat-20251231.htm,0001366868-26-000012,gsat-20251231.htm,10-K,2026-02-27T21:27:30.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001366868.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,25,17,12,0,
HQ,0002088256,Nasdaq,F-1,F-1,https://www.sec.gov/Archives/edgar/data/2088256/000121390026044735/ea0285766-f1_horizon.htm,2026-04-16,2026-08-22,,,,0001213900-26-044735/ea0285766-f1_horizon.htm,0001213900-26-044735,ea0285766-f1_horizon.htm,F-1,2026-04-16T21:16:45.000Z,,https://data.sec.gov/submissions/CIK0002088256.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,F-1,1,424B3,424B3,3,3,0,0,newer_supported_filing_displaced_by_policy
IMSR,0002019804,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/2019804/000110465926036846/tmb-20251231x10k.htm,2026-03-30,2026-08-22,,,,0001104659-26-036846/tmb-20251231x10k.htm,0001104659-26-036846,tmb-20251231x10k.htm,10-K,2026-03-30T21:32:52.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0002019804.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,5,424B3,424B3,9,9,0,0,newer_supported_filing_displaced_by_policy
INFQ,0002007825,NYSE,S-1,S-1,https://www.sec.gov/Archives/edgar/data/2007825/000119312526135000/d946641ds1.htm,2026-03-31,2026-08-22,,,,0001193125-26-135000/d946641ds1.htm,0001193125-26-135000,d946641ds1.htm,S-1,2026-03-31T21:25:32.000Z,,https://data.sec.gov/submissions/CIK0002007825.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,S-1,6,424B3,424B3,4,8,0,0,newer_supported_filing_displaced_by_policy
IONQ,0001824920,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1824920/000119312526071562/ionq-20251231.htm,2026-02-25,2026-08-22,,,,0001193125-26-071562/ionq-20251231.htm,0001193125-26-071562,ionq-20251231.htm,10-K,2026-02-25T21:11:14.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001824920.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,5,424B3;424B7,424B3;424B7,13,13,15,0,newer_supported_filing_displaced_by_policy
IQMX,0002113060,Nasdaq,F-1,F-1/A,https://www.sec.gov/Archives/edgar/data/2113060/000119312526355643/d36013df1a.htm,2026-08-18,2026-08-22,,,,0001193125-26-355643/d36013df1a.htm,0001193125-26-355643,d36013df1a.htm,F-1/A,2026-08-18T20:54:27.000Z,,https://data.sec.gov/submissions/CIK0002113060.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,F-1,0,,,2,1,0,0,
IREN,0001878848,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/iren-20250630.htm,2025-08-28,2026-08-22,,,,0001878848-25-000063/iren-20250630.htm,0001878848-25-000063,iren-20250630.htm,10-K,2025-08-28T20:11:57.000Z,2025-06-30,https://data.sec.gov/submissions/CIK0001878848.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,4,424B5;424B7,424B5;424B7,15,12,4,0,newer_supported_filing_displaced_by_policy
